2,10,3,0,13,42,7,1,12,9,0.638888889,280,0.5,0,0.72,0.285714286,3,4,26.6,6,1.4,280,0,280,0,1,10,3,0,13,42,7,1,12,9,0.638888889,280,0.5,0,0.72,0.285714286,3,4,26.6,6,1.4,9,8,289,8,1
1,10,1,1,4,21,0,1,3,1,0.619047619,477,1,1,0,0.5,0,0,45.3,2,1,477,0,477,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,16,2,0,10,41,10,2,9,15,0.133333333,257,0,0,0.5,0.375,0,0,15,2,0.875,257,0,257,0,1,17,2,0,11,42,0,2,10,15,0.5625,393,0.333333333,0,0.586206897,0.352941176,1,5,21.94117647,2,0.8824,147,97,404,97,1
2,5,2,5,15,7,10,10,6,4,2,14,0,0,0.75,0.466666667,1,1,1.8,1,0.8,14,0,14,0,0,5,2,5,17,7,10,12,6,4,2,14,0,0,0.75,0.466666667,1,1,1.8,1,0.8,6,5,20,5,0
2,1,1,0,21,1,0,20,1,1,2,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,4,1,0,23,4,6,22,1,4,2,4,0,0,0,0.5,0,0,0,1,1,62,9,63,9,1
1,14,1,6,16,19,79,15,1,11,0.723076923,133,1,0,0,0.785714286,0,0,8.142857143,3,1,133,0,133,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,10,1,0,3,10,45,3,0,10,2,10,0,0,0,0.6,0,0,0,1,1,10,0,10,0,1,12,1,0,3,12,66,3,0,12,2,12,0,0,0,0.583333333,0,0,0,1,1,12,0,22,0,0
2,14,1,0,2,25,3,1,1,13,0.602564103,237,0,0,0,0.404761905,0,0,15.5,1,0.9286,237,0,237,0,0,14,1,0,2,25,3,1,1,13,0.602564103,237,0,0,0,0.404761905,0,0,15.5,1,0.9286,6,5,243,5,0
2,14,1,0,12,51,67,1,12,8,0.641025641,764,0.666666667,2,0,0.401709402,0,0,53.35714286,2,1.1429,764,0,764,0,1,14,1,0,22,29,67,9,22,12,0.897435897,199,0.333333333,12,0,0.403846154,0,0,12.35714286,1,0.8571,176,88,940,88,1
1,2,1,0,2,3,1,0,2,2,2,7,0,0,0,0.75,0,0,2.5,1,0.5,7,0,7,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,1,0,5,2,0,4,1,1,2,16,0,1,0,1,0,0,12,0,0,16,0,16,0,1,18,1,0,12,44,0,8,4,4,0.678733032,981,0.461538462,1,0,0.243055556,0,0,52.77777778,4,1.3333,393,79,409,79,1
2,9,2,3,4,14,0,3,1,6,0.575,204,0.8,0,0.619047619,0.416666667,1,4,21.11111111,2,1,204,0,204,0,1,15,2,2,4,30,21,3,1,9,0.705357143,438,0.625,0,0.538461538,0.328571429,1,4,27.66666667,7,1.2667,98,25,302,25,1
2,6,1,0,8,29,0,2,6,0,0.436363636,383,0.727272727,5,0,0.479166667,0,0,61,1,0.6667,383,0,383,0,1,6,1,0,9,29,0,2,7,0,0.45,395,0.666666667,5,0,0.479166667,0,0,62.83333333,1,0.6667,16,10,399,10,1
1,8,2,0,3,15,0,1,2,0,0.571428571,158,1,0,0.5625,0.425,1,3,17.875,1,0.875,158,0,158,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
